B1,B2,B3,B4,B5,B6,B7,NDVI ,EVI,NDBI,MNDWI,RGVI
236,444,792,739,2680,1336,915,0.567709857,1.282034346,-0.334661355,-0.255639098,0.762805722
53,186,600,439,3111,1607,749,0.752676056,1.535279246,-0.318779144,-0.456275487,0.84810421
56,179,553,362,3242,1452,649,0.799112098,1.767955801,-0.381337878,-0.448379052,0.85680696
160,215,455,300,3249,1580,699,0.830938292,2.144727273,-0.345620211,-0.552825553,0.855225989
51,177,565,394,3179,1461,679,0.779457039,1.651251038,-0.370258621,-0.44225074,0.855126999
163,221,474,304,3303,1507,660,0.831438869,2.160351534,-0.373388773,-0.521453811,0.850714788
210,265,521,380,3064,1342,597,0.779326365,1.998510797,-0.390830685,-0.440687064,0.819104182
526,638,912,1051,2007,1896,1109,0.312622629,0.677245679,-0.028439662,-0.35042735,0.654907607
89,195,490,481,2250,1551,768,0.647748078,1.203565111,-0.183898974,-0.519843214,0.83452415
66,144,436,206,3852,1273,541,0.898472154,2.273634323,-0.503219512,-0.489760094,0.890845836
98,176,405,327,2425,1260,622,0.762354651,1.70958279,-0.31614654,-0.513513514,0.850918791
117,218,498,379,2632,1273,623,0.748256393,1.721424205,-0.348015365,-0.437605872,0.830764997
105,186,372,499,1486,1618,950,0.497229219,0.799578743,0.042525773,-0.626130653,0.837478705
281,345,648,521,2715,1410,677,0.677997528,1.685358734,-0.316363636,-0.370262391,0.762586251
301,361,590,545,2112,1415,746,0.58976289,1.464212297,-0.197618373,-0.411471322,0.738172201
692,812,1094,1259,2798,3086,1859,0.379344343,0.902533427,0.048946295,-0.476555024,0.698106829
190,327,703,686,2577,1939,978,0.579528042,1.114582105,-0.141275465,-0.467827403,0.789436454
165,271,614,559,2678,1642,801,0.654618474,1.324209474,-0.239814815,-0.455673759,0.807082714
104,232,591,610,2156,1426,747,0.558929863,0.948000981,-0.203796762,-0.41398116,0.802163393
179,250,608,390,3371,1538,654,0.792608349,1.942272609,-0.373395804,-0.433364399,0.821744054
252,308,646,471,3002,1626,739,0.728764757,1.79809605,-0.297320657,-0.431338028,0.78679962
158,189,608,383,2824,1340,601,0.76114749,1.646876265,-0.356388088,-0.375770021,0.798844538
-109,198,1058,988,3857,3090,1692,0.592156863,0.864052524,-0.11040737,-0.489874638,0.854826373
544,676,960,1020,2958,2800,1558,0.487179487,1.208530806,-0.027440083,-0.489361702,0.728323699
228,509,1049,1285,3199,2858,1669,0.426851026,0.674656327,-0.056298498,-0.463015101,0.792458963
79,139,435,274,2582,1254,564,0.808123249,1.811901397,-0.346193952,-0.484902309,0.849707602
257,325,551,670,1534,1170,673,0.392014519,0.692862871,-0.134615385,-0.359674608,0.719151894
196,260,462,470,1496,922,471,0.521871821,1.08365019,-0.23738627,-0.332369942,0.729995897
320,354,638,492,3470,2199,1003,0.751640586,1.975849257,-0.224201799,-0.550229115,0.807049345
326,466,784,998,2670,2290,1322,0.455834242,0.809450039,-0.076612903,-0.48991542,0.77755511
364,452,698,775,2056,1334,760,0.452490286,0.965480856,-0.212979351,-0.312992126,0.704260652
140,241,548,533,1871,1051,570,0.556572379,1.025287356,-0.280629706,-0.314571607,0.768661735
248,328,591,519,1595,645,326,0.508987701,1.195555556,-0.424107143,-0.04368932,0.656147541
312,359,752,539,4147,2124,931,0.769953052,1.923445996,-0.322596077,-0.47705146,0.81057504
224,274,647,337,4391,1847,745,0.857445008,2.325074558,-0.40782302,-0.481154771,0.840855107
124,209,501,448,2151,1122,559,0.65525202,1.300993125,-0.314390467,-0.382624769,0.80208993
210,256,664,321,5009,1864,725,0.879549719,2.336523126,-0.457587662,-0.474683544,0.855656482
